epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.21,0.2393,1.1227,0.99661,0.95985,0.48611,0.50389,0.48394,0.29156,0.83415,0.41439,0.000551781,0.000551781,0.000551781
2,80.0348,0.16593,0.58261,0.9393,0.97549,0.49736,0.50352,0.49384,0.3604,0.65659,0.52805,0.00105263,0.00105263,0.00105263
3,99.3748,0.16311,0.46813,0.92747,0.463,0.97222,0.49995,0.49664,0.26664,0.60134,0.47136,0.00149847,0.00149847,0.00149847
4,117.661,0.14371,0.39891,0.92126,0.47701,0.49893,0.50529,0.5048,0.20132,0.38061,0.3205,0.00141945,0.00141945,0.00141945
5,135.728,0.12274,0.34796,0.91393,0.9804,0.49749,0.51319,0.51031,0.19191,0.41257,0.3262,0.00133693,0.00133693,0.00133693
6,153.734,0.11431,0.35591,0.90288,0.96022,0.49573,0.57037,0.51786,0.18352,0.68426,0.29506,0.00125442,0.00125442,0.00125442
7,172.485,0.10576,0.32472,0.90525,0.47017,0.83333,0.54596,0.54596,0.16838,0.3953,0.2696,0.0011719,0.0011719,0.0011719
8,190.62,0.09581,0.30341,0.89642,0.58126,0.55556,0.55894,0.55793,0.21623,0.34399,0.32883,0.00108938,0.00108938,0.00108938
9,209.174,0.0898,0.28966,0.90137,0.51649,0.52778,0.53305,0.53293,0.11743,0.39977,0.21925,0.00100687,0.00100687,0.00100687
10,227.343,0.08066,0.28333,0.89876,0.54238,0.63889,0.58337,0.58337,0.21054,0.30849,0.31029,0.000924352,0.000924352,0.000924352
11,271.497,0.08008,0.28698,0.92202,0.9814,0.5,0.53897,0.53897,0.24225,0.35117,0.37353,0.000841835,0.000841835,0.000841835
12,290.458,0.05972,0.22055,0.90865,0.59192,0.52778,0.52894,0.52818,0.21501,0.32869,0.32545,0.000759318,0.000759318,0.000759318
13,309.215,0.06134,0.2125,0.90842,0.51741,0.58333,0.55849,0.55849,0.23277,0.36211,0.33459,0.000676802,0.000676802,0.000676802
14,327.616,0.04781,0.20269,0.91401,0.60368,0.55556,0.58811,0.58328,0.22099,0.31959,0.31828,0.000594286,0.000594286,0.000594286
15,345.608,0.04176,0.19535,0.9038,0.55899,0.72222,0.59935,0.59935,0.17659,0.31543,0.26529,0.000511769,0.000511769,0.000511769
16,363.183,0.03663,0.18689,0.90778,0.60219,0.63889,0.60813,0.60813,0.12119,0.25992,0.18649,0.000429253,0.000429253,0.000429253
17,382.397,0.03479,0.17931,0.90181,0.56746,0.65728,0.56849,0.56849,0.10818,0.24081,0.17102,0.000346736,0.000346736,0.000346736
18,401.072,0.03013,0.16965,0.89727,0.58606,0.72222,0.60543,0.60543,0.11571,0.24584,0.1796,0.00026422,0.00026422,0.00026422
19,419.544,0.02683,0.16092,0.89324,0.68594,0.63889,0.6328,0.6303,0.19932,0.32794,0.29986,0.000181703,0.000181703,0.000181703
20,437.776,0.02336,0.15671,0.8942,0.57002,0.72222,0.57051,0.57017,0.15785,0.33504,0.23506,9.91865e-05,9.91865e-05,9.91865e-05
