epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0581,0.37878,1.19849,1.0359,0.97394,0.49145,0.50524,0.50084,0.1284,0.49029,0.12826,0.000551781,0.000551781,0.000551781
2,22.3238,0.24033,0.56702,0.94828,0.94079,0.47722,0.48203,0.44033,0.28211,0.71846,0.20125,0.00105263,0.00105263,0.00105263
3,31.3092,0.22943,0.50204,0.93568,0.94009,0.47756,0.48896,0.4128,0.37816,0.84049,0.24513,0.00149847,0.00149847,0.00149847
4,40.6985,0.20719,0.45324,0.9289,0.94026,0.44658,0.48148,0.4645,0.3195,0.80227,0.24494,0.00141945,0.00141945,0.00141945
5,50.1247,0.18656,0.41448,0.91923,0.94139,0.49145,0.49734,0.45684,0.36415,0.74647,0.20888,0.00133693,0.00133693,0.00133693
6,59.48,0.16971,0.41636,0.91923,0.96885,0.49848,0.508,0.50429,0.22554,0.50689,0.16161,0.00125442,0.00125442,0.00125442
7,69.9854,0.15324,0.38057,0.91129,0.79864,0.40248,0.31825,0.16569,0.67715,1.66749,0.46495,0.0011719,0.0011719,0.0011719
8,79.6739,0.14895,0.37754,0.91025,0.78723,0.38996,0.34735,0.21205,0.66786,1.51554,0.35707,0.00108938,0.00108938,0.00108938
9,88.7635,0.13907,0.34749,0.90556,0.94928,0.48291,0.51257,0.36881,0.45781,0.9332,0.27216,0.00100687,0.00100687,0.00100687
10,97.9438,0.1197,0.33432,0.90091,0.97838,0.49642,0.50637,0.49638,0.33719,0.65129,0.20789,0.000924352,0.000924352,0.000924352
11,127.535,0.10868,0.31265,0.91629,0.98128,0.5,0.52406,0.52406,0.28239,0.67086,0.17104,0.000841835,0.000841835,0.000841835
12,136.705,0.08698,0.24691,0.91072,0.97698,0.5,0.52224,0.52224,0.26618,0.57741,0.16567,0.000759318,0.000759318,0.000759318
13,146.014,0.07714,0.23762,0.89608,0.9814,0.5,0.50818,0.50734,0.26514,0.50719,0.15831,0.000676802,0.000676802,0.000676802
14,155.165,0.06075,0.22297,0.90786,0.98142,0.5,0.51904,0.46925,0.24424,0.48667,0.17208,0.000594286,0.000594286,0.000594286
15,164.802,0.05832,0.21827,0.90032,0.9813,0.5,0.5126,0.5126,0.24072,0.63539,0.16514,0.000511769,0.000511769,0.000511769
16,174.207,0.0527,0.21574,0.9063,0.98142,0.5,0.51341,0.51,0.24843,0.47371,0.17691,0.000429253,0.000429253,0.000429253
17,183.388,0.0465,0.20348,0.8995,0.98139,0.5,0.56735,0.56591,0.24296,0.52922,0.18554,0.000346736,0.000346736,0.000346736
18,192.423,0.04369,0.20188,0.89768,0.98142,0.5,0.57345,0.52725,0.37577,0.64384,0.22562,0.00026422,0.00026422,0.00026422
19,201.611,0.04066,0.1955,0.88944,0.97781,0.5,0.5411,0.48022,0.27393,0.56767,0.17403,0.000181703,0.000181703,0.000181703
20,211.544,0.03667,0.18822,0.89347,0.51826,1,0.55073,0.54956,0.22506,0.43088,0.1482,9.91865e-05,9.91865e-05,9.91865e-05
